id,drug_name,drug_id,created_at,updated_at,quantity,price,invoice_id,deleted_at,discount
29,Cap Edwin D,43,2018-08-25 9:30:49,2018-09-27 21:30:47,1,230,23,,23.5
30,Cap Colonil MR 200mg,14,2018-08-25 9:31:59,2018-09-27 21:30:47,10,24.1,24,,23.5
31,Cap Waraxim 400mg,36,2018-08-25 9:33:19,2018-09-27 21:30:47,10,65,25,,17.55
32,Cap  Azomox 250mg,37,2018-08-25 9:33:19,2018-08-25 9:33:19,12,33.83,25,,15
33,Cap Rezz -20,19,2018-08-25 9:34:33,2018-09-27 21:30:47,10,15,26,,23.5
34,Tab  Itofix SR 150mg,15,2018-08-25 9:34:33,2018-09-27 21:30:47,10,31.6,26,,23.5
35,Tab B-Fit 20mg,44,2018-08-25 9:34:34,2018-09-27 21:30:47,10,6.5,26,,23.5
36,Tab Acetra 37.5mg/325mg,41,2018-08-25 9:38:37,2018-09-27 21:30:47,10,10,27,,23.5
37,Tab Cilavit D 200000 IU,8,2018-08-25 9:38:37,2018-09-27 21:30:47,2,175,27,,23.5
38,Tab Amstan 5mg+80mg,24,2018-08-25 9:38:37,2018-08-25 9:38:37,14,18.93,27,,15
39,Tab B-Fit 20mg,44,2018-08-25 9:38:37,2018-09-27 21:30:47,10,6.5,27,,23.5
40,Tab  Oniron 8mg,17,2018-08-25 9:40:09,2018-09-27 21:30:47,10,25,28,,23.5
41,Cap Colonil MR 200mg,14,2018-08-25 9:40:09,2018-09-27 21:30:47,10,24.1,28,,23.5
42,Cap LapraZole -30mg,6,2018-08-25 9:40:09,2018-09-27 21:30:47,7,14.71,28,,23.5
43,Cap Rezz -20,19,2018-08-27 15:48:48,2018-09-27 21:30:47,30,15,30,,23.5
44,Cap Rezz -20,19,2018-08-28 16:42:03,2018-09-27 21:30:47,10,15,31,,23.5
45,Tab  Itofix SR 150mg,15,2018-08-28 16:42:03,2018-09-27 21:30:47,10,31.6,31,,23.5
46,Tab B-Fit 20mg,44,2018-08-28 16:44:06,2018-09-27 21:30:48,10,6.5,32,,23.5
47,Tab Glusimet 50 mg / 500 mg,23,2018-08-28 16:46:45,2018-08-28 16:46:45,14,24.43,33,,15
48,Tab Rast 10mg,31,2018-08-28 16:46:45,2018-08-28 16:46:45,10,19,33,,15
49,Tab B-Fit 20mg,44,2018-08-28 16:46:45,2018-09-27 21:30:48,10,6.5,33,,23.5
50,Tab Cilavit D 200000 IU,8,2018-08-28 17:06:12,2018-09-27 21:30:48,2,175,34,,23.5
51,Tab Acetra 37.5mg/325mg,41,2018-08-28 17:06:12,2018-09-27 21:30:48,10,10,34,,23.5
52,Tab  Itofix SR 150mg,15,2018-08-28 17:09:22,2018-09-27 21:30:48,10,31.6,35,,23.5
53,Tab Cilavit D 200000 IU,8,2018-08-28 17:09:22,2018-09-27 21:30:48,2,175,35,,23.5
54,Tab B-Fit 20mg,44,2018-08-28 17:11:08,2018-09-27 21:30:48,10,6.5,36,,23.5
55,Syp LacNovex 120ml,10,2018-08-28 17:11:08,2018-09-27 21:30:48,1,148,36,,23.5
56,Tab Acetra 37.5mg/325mg,41,2018-08-28 17:13:27,2018-09-27 21:30:48,30,10,37,,23.5
57,Cap Edwin D,43,2018-08-28 17:13:27,2018-09-27 21:30:48,1,230,37,,23.5
58,Tab  Paromax  20mg,49,2018-08-28 17:13:27,2018-08-28 17:13:27,10,21.5,37,,15
59,Tab  Telsarta-A  5/80,40,2018-08-28 17:13:27,2018-08-28 17:13:27,14,27.14,37,,23.5
60,Tab  Itofix SR 150mg,15,2018-08-28 17:13:27,2018-09-27 21:30:48,10,31.6,37,,23.5
61,Cap Solus 40mg,34,2018-08-29 16:40:47,2018-09-27 21:30:46,7,22,38,,17.55
62,Cap Colonil MR 200mg,14,2018-08-29 16:40:47,2018-09-27 21:30:46,10,24.1,38,,23.5
63,Tab  Itofix SR 150mg,15,2018-08-29 16:42:45,2018-09-27 21:30:47,10,31.6,39,,23.5
64,Tab RespiCare 10mg,20,2018-08-29 16:42:45,2018-08-29 16:42:45,7,22.93,39,,15
65,Tab  Topagen  25mg,50,2018-08-29 16:42:45,2018-08-29 16:42:45,10,15,39,,15
66,Tab Co-Valtec  160/12.5mg,28,2018-08-29 16:45:37,2018-08-29 16:45:37,7,16,40,,15
67,Tab  Paromax  20mg,49,2018-08-29 16:45:37,2018-08-29 16:45:37,10,21.5,40,,15
68,Tab RespiCare 10mg,20,2018-08-29 16:45:37,2018-08-29 16:45:37,7,22.93,40,,15
69,Cap LapraZole -30mg,6,2018-08-29 16:45:37,2018-09-27 21:30:48,7,14.71,40,,23.5
70,Tab Neumox,7,2018-08-29 16:45:38,2018-09-27 21:30:48,5,79.8,40,,23.5
71,Cap LapraZole -30mg,6,2018-08-29 16:57:22,2018-09-27 21:30:48,7,14.71,41,,23.5
72,Tab  Itofix SR 150mg,15,2018-08-29 16:57:22,2018-09-27 21:30:48,10,31.6,41,,23.5
73,Tab Scipride 50mg,27,2018-08-29 16:57:22,2018-08-29 16:57:22,10,10.2,41,,15
74,Cap Colonil MR 200mg,14,2018-08-29 16:57:22,2018-09-27 21:30:48,10,24.1,41,,23.5
75,Cap Solus 40mg,34,2018-08-29 16:59:50,2018-09-27 21:30:48,7,22,42,,17.55
76,Tab  Itofix SR 150mg,15,2018-08-29 16:59:50,2018-09-27 21:30:48,10,31.6,42,,23.5
77,Cap Colonil MR 200mg,14,2018-08-29 16:59:50,2018-09-27 21:30:48,10,24.1,42,,23.5
78,Tab Scipride 50mg,27,2018-08-29 16:59:50,2018-08-29 16:59:50,10,10.2,42,,15
79,Tab  Ostin,51,2018-08-30 14:05:00,2018-08-30 14:05:00,20,37,43,,15
80,Tab Amstan 5mg+160mg,22,2018-08-30 14:05:00,2018-08-30 14:05:00,56,26.95,43,,15
81,Tab Acetra 37.5mg/325mg,41,2018-08-30 14:05:00,2018-09-27 21:30:48,50,10,43,,23.5
82,Cap Edwin D,43,2018-08-30 14:07:27,2018-09-27 21:30:48,1,230,44,,23.5
83,Cap ES Novex 40mg,9,2018-08-30 14:07:27,2018-09-27 21:30:48,14,14.14,44,,23.5
84,Tab  Itofix SR 150mg,15,2018-08-30 14:07:27,2018-09-27 21:30:48,10,31.6,44,,23.5
85,Tab  Ostin,51,2018-08-30 14:07:27,2018-08-30 14:07:27,20,37,44,,15
86,Tab  Paromax  20mg,49,2018-08-30 14:31:55,2018-08-30 14:31:55,10,21.5,45,,15
87,Cap Solus 40mg,34,2018-08-30 14:31:55,2018-09-27 21:30:48,14,22,45,,17.55
88,Cap Colonil MR 200mg,14,2018-08-30 14:31:55,2018-09-27 21:30:48,30,24.1,45,,23.5
89,Syp LacNovex 120ml,10,2018-08-30 14:33:15,2018-09-27 21:30:48,1,148,46,,23.5
90,Cap ES Novex 40mg,9,2018-08-30 14:38:23,2018-09-27 21:30:48,28,14.14,47,,23.5
91,Tab  Itofix SR 150mg,15,2018-08-30 14:38:23,2018-09-27 21:30:48,30,31.6,47,,23.5
92,Tab  Paromax  20mg,49,2018-08-30 14:38:23,2018-08-30 14:38:23,30,21.5,47,,15
93,Cap Colonil MR 200mg,14,2018-08-30 14:38:23,2018-09-27 21:30:48,60,24.1,47,,23.5
94,Cap Rezz -20,19,2018-08-30 14:41:05,2018-09-27 21:30:48,10,15,48,,23.5
95,Tab Neumox,7,2018-08-30 14:41:05,2018-09-27 21:30:48,5,79.8,48,,23.5
96,Cap Colonil MR 200mg,14,2018-08-30 14:41:05,2018-09-27 21:30:48,10,24.1,48,,23.5
97,Tab Cilavit D 200000 IU,8,2018-08-30 15:05:31,2018-09-27 21:30:48,4,175,49,,23.5
98,Cap LapraZole -30mg,6,2018-08-31 14:01:29,2018-09-27 21:30:49,28,14.71,50,,23.5
99,Tab  Itofix SR 150mg,15,2018-08-31 14:01:30,2018-09-27 21:30:49,30,31.6,50,,23.5
100,Tab Scipride 50mg,27,2018-08-31 14:01:30,2018-08-31 14:01:30,100,10.2,50,,15
101,Cap Solus 40mg,34,2018-08-31 14:04:34,2018-09-27 21:30:49,7,22,51,,17.55
102,Cap Colonil MR 200mg,14,2018-08-31 14:04:34,2018-09-27 21:30:49,10,24.1,51,,23.5
103,Tab  Itofix SR 150mg,15,2018-08-31 14:04:34,2018-09-27 21:30:49,10,31.6,51,,23.5
104,Tab RespiCare 10mg,20,2018-08-31 15:30:12,2018-08-31 15:30:12,7,22.93,52,,15
105,Tab Neumox,7,2018-08-31 15:30:12,2018-09-27 21:30:49,5,79.8,52,,23.5
106,Tab Cilavit D 200000 IU,8,2018-08-31 15:30:12,2018-09-27 21:30:49,2,175,52,,23.5
107,Cap ES Novex 40mg,9,2018-08-31 15:55:08,2018-09-27 21:30:49,14,14.14,53,,23.5
108,Cap Colonil MR 200mg,14,2018-08-31 15:55:08,2018-09-27 21:30:49,30,24.1,53,,23.5
109,Tab Cilavit D 200000 IU,8,2018-08-31 15:59:40,2018-09-27 21:30:49,2,175,54,,23.5
110,Tab Glusimet 50 mg / 500 mg,23,2018-08-31 15:59:40,2018-08-31 15:59:40,14,24.43,54,,15
111,Tab  Itofix SR 150mg,15,2018-08-31 15:59:40,2018-09-27 21:30:49,15,31.6,54,,23.5
112,Cap LapraZole -30mg,6,2018-08-31 15:59:40,2018-09-27 21:30:49,14,14.71,54,,23.5
113,Tab Amstan 5mg+80mg,24,2018-08-31 15:59:40,2018-08-31 15:59:40,14,18.93,54,,15
114,Tab  Ostin,51,2018-08-31 16:01:33,2018-08-31 16:01:33,20,37,55,,15
115,Cap Solus 40mg,34,2018-08-31 16:03:02,2018-09-27 21:30:49,7,22,56,,17.55
116,Tab Glusimet 50 mg / 500 mg,23,2018-08-31 16:03:02,2018-08-31 16:03:02,14,24.43,56,,15
117,Tab Acetra 37.5mg/325mg,41,2018-08-31 16:28:06,2018-09-27 21:30:49,10,10,57,,23.5
118,Tab Co-Valtec  160/12.5mg,28,2018-08-31 16:28:06,2018-08-31 16:28:06,7,16,57,,15
119,Tab Acetra 37.5mg/325mg,41,2018-08-31 16:31:08,2018-09-27 21:30:49,10,10,58,,23.5
120,Cap Colonil MR 200mg,14,2018-08-31 16:31:08,2018-09-27 21:30:49,10,24.1,58,,23.5
121,Cap Solus 40mg,34,2018-08-31 16:31:09,2018-09-27 21:30:49,7,22,58,,17.55
122,Tab B-Fit 20mg,44,2018-08-31 16:31:09,2018-09-27 21:30:49,10,6.5,58,,23.5
123,Cap Solus 40mg,34,2018-09-02 8:00:18,2018-09-27 21:30:49,7,22,59,,17.55
124,Cap Colonil MR 200mg,14,2018-09-02 8:00:18,2018-09-27 21:30:49,10,24.1,59,,23.5
125,Tab  Paromax  20mg,49,2018-09-02 8:00:18,2018-09-02 8:00:18,10,21.5,59,,15
126,Tab Acetra 37.5mg/325mg,41,2018-09-02 8:00:18,2018-09-27 21:30:49,10,10,59,,23.5
127,Tab Glusit 50mg,13,2018-09-02 8:02:25,2018-09-02 8:02:25,14,20.71,60,,15
128,Cap LapraZole -30mg,6,2018-09-02 8:04:48,2018-09-27 21:30:49,14,14.71,61,,23.5
129,Tab  Itofix SR 150mg,15,2018-09-02 8:04:48,2018-09-27 21:30:49,15,31.6,61,,23.5
130,Tab  Oniron 8mg,17,2018-09-02 8:04:48,2018-09-27 21:30:49,30,25,61,,23.5
131,Cap Rezz -20,19,2018-09-03 13:45:14,2018-09-27 21:30:49,10,15,62,,23.5
132,Tab  Itofix SR 150mg,15,2018-09-03 13:45:14,2018-09-27 21:30:49,10,31.6,62,,23.5
133,Tab Glusit 50mg,13,2018-09-03 13:45:14,2018-09-03 13:45:14,14,20.71,62,,15
134,Cap  Azomox 250mg,37,2018-09-03 13:45:15,2018-09-03 13:45:15,12,33.83,62,,15
135,Cap LapraZole -30mg,6,2018-09-03 13:47:04,2018-09-27 21:30:49,14,14.71,63,,23.5
136,Tab  Itofix SR 150mg,15,2018-09-03 13:47:04,2018-09-27 21:30:49,10,31.6,63,,23.5
137,Cap Colonil MR 200mg,14,2018-09-03 13:47:04,2018-09-27 21:30:49,20,24.1,63,,23.5
138,Tab  Topagen  25mg,50,2018-09-03 13:47:04,2018-09-03 13:47:04,10,15,63,,15
139,Tab  Itofix SR 150mg,15,2018-09-03 13:49:29,2018-09-27 21:30:49,10,31.6,64,,23.5
140,Syp LacNovex 120ml,10,2018-09-03 13:49:29,2018-09-27 21:30:49,1,148,64,,23.5
141,Tab Sofvasc HCT  10/160/12.5,55,2018-09-03 14:43:57,2018-09-27 21:30:49,28,36,65,,23.5
142,Tab Valtec  160mg,32,2018-09-03 14:43:57,2018-09-03 14:43:57,28,15,65,,15
143,Tab RespiCare 10mg,20,2018-09-03 14:43:57,2018-09-03 14:43:57,14,22.93,65,,15
144,Tab  Nutri,16,2018-09-03 14:43:57,2018-09-27 21:30:50,20,22.5,65,,23.5
145,Cap ES Novex 40mg,9,2018-09-03 14:43:57,2018-09-27 21:30:50,14,14.14,65,,23.5
146,Cap Colonil MR 200mg,14,2018-09-03 14:46:31,2018-09-27 21:30:50,10,24.1,66,,23.5
147,Cap Solus 40mg,34,2018-09-03 14:46:31,2018-09-27 21:30:50,7,22,66,,17.55
148,Tab  Nutri,16,2018-09-03 14:46:31,2018-09-27 21:30:50,10,22.5,66,,23.5
149,Tab Cilavit D 200000 IU,8,2018-09-03 14:48:23,2018-09-27 21:30:50,2,175,67,,23.5
150,Cap Waraxim 400mg,36,2018-09-03 15:01:39,2018-09-27 21:30:50,10,65,68,,17.55
151,Cap  Azomox 250mg,37,2018-09-03 15:01:39,2018-09-03 15:01:39,12,33.83,68,,15
152,Syp LacNovex 120ml,10,2018-09-03 15:01:39,2018-09-27 21:30:50,1,148,68,,23.5
153,Tab  Stevit,52,2018-09-03 15:18:51,2018-09-03 15:18:51,20,38.25,69,,15
154,Tab  Oniron 8mg,17,2018-09-03 15:18:51,2018-09-27 21:30:50,10,25,69,,23.5
155,Tab Cilavit D 200000 IU,8,2018-09-03 15:18:51,2018-09-27 21:30:50,2,175,69,,23.5
156,Cap Colonil MR 200mg,14,2018-09-03 15:35:16,2018-09-27 21:30:50,20,24.1,70,,23.5
157,Tab  Itofix SR 150mg,15,2018-09-03 15:35:16,2018-09-27 21:30:50,10,31.6,70,,23.5
158,Tab  Topagen  25mg,50,2018-09-03 15:35:16,2018-09-03 15:35:16,10,15,70,,15
159,Cap ES Novex 40mg,9,2018-09-03 16:09:12,2018-09-27 21:30:50,14,14.14,71,,23.5
160,Cap Colonil MR 200mg,14,2018-09-03 16:09:12,2018-09-27 21:30:50,30,24.1,71,,23.5
161,Tab Glusimet 50 mg / 500 mg,23,2018-09-03 16:11:43,2018-09-03 16:11:43,14,24.43,72,,15
162,Tab  Stevit,52,2018-09-03 16:11:43,2018-09-03 16:11:43,20,38.25,72,,15
163,Tab Acetra 37.5mg/325mg,41,2018-09-03 16:11:43,2018-09-27 21:30:50,10,10,72,,23.5
164,Tab Cilavit D 200000 IU,8,2018-09-03 16:11:43,2018-09-27 21:30:50,2,175,72,,23.5
165,Tab  Stevit,52,2018-09-03 16:15:07,2018-09-03 16:15:07,20,38.25,73,,15
166,Cap Rezz -20,19,2018-09-03 16:27:39,2018-09-27 21:30:50,10,15,74,,23.5
167,Tab  Nutri,16,2018-09-03 16:27:39,2018-09-27 21:30:50,10,22.5,74,,23.5
168,Tab  Itofix SR 150mg,15,2018-09-03 16:27:39,2018-09-27 21:30:50,10,31.6,74,,23.5
169,Tab RespiCare 10mg,20,2018-09-03 16:35:11,2018-09-03 16:35:11,14,22.93,75,,15
170,Tab  Nutri,16,2018-09-03 16:35:11,2018-09-27 21:30:50,20,22.5,75,,23.5
171,Tab B-Fit 20mg,44,2018-09-03 16:35:11,2018-09-27 21:30:50,10,6.5,75,,23.5
172,Syp LacNovex 120ml,10,2018-09-03 16:52:00,2018-09-27 21:30:50,1,148,76,,23.5
173,Cap LapraZole -30mg,6,2018-09-03 17:01:25,2018-09-27 21:30:50,7,14.71,77,,23.5
174,Tab B-Fit 20mg,44,2018-09-03 17:17:44,2018-09-27 21:30:50,10,6.5,78,,23.5
175,Tab Co-Valtec  160/12.5mg,28,2018-09-04 13:42:14,2018-09-04 13:42:14,14,16,79,,15
176,Tab SimGesic,18,2018-09-04 13:42:14,2018-09-27 21:30:50,45,9.5,79,,23.5
177,Tab  Oniron 8mg,17,2018-09-04 13:43:16,2018-09-27 21:30:50,20,25,80,,23.5
178,Cap Waraxim 400mg,36,2018-09-04 13:50:14,2018-09-27 21:30:50,5,65,81,,17.55
179,Cap Colonil MR 200mg,14,2018-09-04 14:08:09,2018-09-27 21:30:50,30,24.1,82,,23.5
180,Cap Solus 40mg,34,2018-09-04 14:08:09,2018-09-27 21:30:50,14,22,82,,17.55
181,Tab B-Fit 20mg,44,2018-09-04 14:08:09,2018-09-27 21:30:50,20,6.5,82,,23.5
182,Cap Rezz -20,19,2018-09-04 14:50:45,2018-09-27 21:30:50,10,15,83,,23.5
183,Tab  Oniron 8mg,17,2018-09-04 14:50:45,2018-09-27 21:30:50,10,25,83,,23.5
184,Cap Waraxim 400mg,36,2018-09-04 15:01:52,2018-09-27 21:30:50,10,65,84,,17.55
185,Tab  Stevit,52,2018-09-04 15:01:53,2018-09-04 15:01:53,20,38.25,84,,15
186,Tab Rast 10mg,31,2018-09-04 15:28:41,2018-09-04 15:28:41,10,19,85,,15
187,Tab Valtec  160mg,32,2018-09-04 15:28:41,2018-09-04 15:28:41,10,15,85,,15
188,Tab  Nutri,16,2018-09-04 15:28:41,2018-09-27 21:30:51,10,22.5,85,,23.5
189,Cap Rezz -20,19,2018-09-04 15:35:00,2018-09-27 21:30:51,10,15,86,,23.5
190,Cap Colonil MR 200mg,14,2018-09-04 15:35:00,2018-09-27 21:30:51,10,24.1,86,,23.5
191,Cap Edwin D,43,2018-09-04 16:51:21,2018-09-27 21:30:51,2,230,87,,23.5
192,Cap  Calgae,47,2018-09-04 16:51:21,2018-09-04 16:51:21,20,34.95,87,,15
193,Tab Acetra 37.5mg/325mg,41,2018-09-04 16:55:23,2018-09-27 21:30:51,10,10,88,,23.5
194,Tab Kestore 10mg,25,2018-09-04 16:55:23,2018-09-04 16:55:23,10,20.42,88,,15
195,Cap ES Novex 40mg,9,2018-09-04 16:55:23,2018-09-27 21:30:51,7,14.14,88,,23.5
196,Tab  Telsarta-A  5/40,39,2018-09-04 16:55:23,2018-09-04 16:55:23,7,17.86,88,,15
197,Tab  Nutri,16,2018-09-05 14:23:27,2018-09-27 21:30:51,20,22.5,89,,23.5
198,Tab  Oniron 8mg,17,2018-09-05 14:26:31,2018-09-27 21:30:51,10,25,90,,23.5
199,Cap Rezz -20,19,2018-09-05 17:20:22,2018-09-27 21:30:51,10,15,91,,23.5
200,Tab  Topagen  25mg,50,2018-09-05 17:20:22,2018-09-05 17:20:22,10,15,91,,15
201,Tab  Itofix SR 150mg,15,2018-09-05 17:20:22,2018-09-27 21:30:51,10,31.6,91,,23.5
202,Cap Colonil MR 200mg,14,2018-09-05 17:20:23,2018-09-27 21:30:51,10,24.1,91,,23.5
203,Tab  Itofix SR 150mg,15,2018-09-06 15:22:40,2018-09-27 21:30:51,10,31.6,92,,23.5
204,Cap Colonil MR 200mg,14,2018-09-06 15:22:40,2018-09-27 21:30:51,10,24.1,92,,23.5
205,Tab  Paromax  20mg,49,2018-09-06 15:22:40,2018-09-06 15:22:40,10,21.5,92,,15
206,Cap Solus 40mg,34,2018-09-06 15:22:40,2018-09-27 21:30:51,7,22,92,,17.55
207,Tab  Oniron 8mg,17,2018-09-06 15:23:47,2018-09-27 21:30:51,10,25,93,,23.5
208,Cap LapraZole -30mg,6,2018-09-06 15:26:15,2018-09-27 21:30:51,7,14.71,94,,23.5
209,Cap Colonil MR 200mg,14,2018-09-06 15:26:15,2018-09-27 21:30:51,20,24.1,94,,23.5
210,Tab  Nutri,16,2018-09-06 15:26:15,2018-09-27 21:30:51,20,22.5,94,,23.5
211,Tab Cilavit D 200000 IU,8,2018-09-06 15:26:15,2018-09-27 21:30:51,2,175,94,,23.5
212,Cap ES Novex 40mg,9,2018-09-06 15:27:54,2018-09-27 21:30:51,14,14.14,95,,23.5
213,Cap Colonil MR 200mg,14,2018-09-06 16:12:24,2018-09-27 21:30:51,20,24.1,96,,23.5
214,Tab B-Fit 20mg,44,2018-09-06 16:12:24,2018-09-27 21:30:51,10,6.5,96,,23.5
215,Tab Acetra 37.5mg/325mg,41,2018-09-06 16:12:24,2018-09-27 21:30:51,20,10,96,,23.5
216,Cap Solus 40mg,34,2018-09-06 16:47:37,2018-09-27 21:30:51,7,22,97,,17.55
217,Tab  Itofix SR 150mg,15,2018-09-06 16:47:37,2018-09-27 21:30:51,10,31.6,97,,23.5
218,Cap Solus 40mg,34,2018-09-07 13:38:10,2018-09-27 21:30:51,7,22,98,,17.55
219,Tab B-Fit 20mg,44,2018-09-07 13:52:07,2018-09-27 21:30:51,10,6.5,99,,23.5
220,Cap ES Novex 40mg,9,2018-09-07 13:52:07,2018-09-27 21:30:51,14,14.14,99,,23.5
221,Cap Colonil MR 200mg,14,2018-09-07 13:52:07,2018-09-27 21:30:51,20,24.1,99,,23.5
222,Tab  Itofix SR 150mg,15,2018-09-07 13:52:07,2018-09-27 21:30:51,10,31.6,99,,23.5
223,Tab Acetra 37.5mg/325mg,41,2018-09-07 13:52:07,2018-09-27 21:30:51,10,10,99,,23.5
224,Cap ES Novex 40mg,9,2018-09-07 14:10:30,2018-09-27 21:30:51,14,14.14,100,,23.5
225,Tab  Itofix SR 150mg,15,2018-09-07 14:10:30,2018-09-27 21:30:52,10,31.6,100,,23.5
226,Cap Colonil MR 200mg,14,2018-09-07 14:10:30,2018-09-27 21:30:52,20,24.1,100,,23.5
227,Cap Edwin D,43,2018-09-07 14:10:31,2018-09-27 21:30:52,1,230,100,,23.5
228,Tab  Topagen  25mg,50,2018-09-07 14:10:31,2018-09-07 14:10:31,10,15,100,,15
229,Tab B-Fit 20mg,44,2018-09-07 15:15:30,2018-09-27 21:30:52,10,6.5,101,,23.5
230,Tab  Stevit,52,2018-09-07 15:15:30,2018-09-07 15:15:30,20,38.25,101,,15
231,Cap Solus 40mg,34,2018-09-07 15:38:19,2018-09-27 21:30:52,7,22,102,,17.55
232,Tab  Itofix SR 150mg,15,2018-09-07 15:38:19,2018-09-27 21:30:52,10,31.6,102,,23.5
233,Tab Acetra 37.5mg/325mg,41,2018-09-07 15:38:19,2018-09-27 21:30:52,10,10,102,,23.5
234,Cap Solus 40mg,34,2018-09-07 15:50:28,2018-09-27 21:30:52,7,22,103,,17.55
235,Cap Colonil MR 200mg,14,2018-09-07 15:50:28,2018-09-27 21:30:52,10,24.1,103,,23.5
236,Tab SimGesic,18,2018-09-07 15:50:28,2018-09-27 21:30:52,10,9.5,103,,23.5
237,Tab  Paromax  20mg,49,2018-09-07 15:50:28,2018-09-07 15:50:28,10,21.5,103,,15
238,Tab Anafortan Plus,58,2018-09-07 17:00:34,2018-09-07 17:00:34,6,12.25,104,,15
239,Cap Colonil MR 200mg,14,2018-09-07 17:01:58,2018-09-27 21:30:52,30,24.1,105,,23.5
240,Cap LapraZole -30mg,6,2018-09-07 17:39:28,2018-09-27 21:30:52,7,14.71,106,,23.5
241,Tab Cinirant 1mg,42,2018-09-07 17:39:28,2018-09-27 21:30:52,10,16.1,106,,23.5
242,Cap Colonil MR 200mg,14,2018-09-07 17:39:28,2018-09-27 21:30:52,10,24.1,106,,23.5
243,Cap  Azomox 250mg,37,2018-09-07 17:39:28,2018-09-07 17:39:28,6,33.83,106,,15
244,Tab  Telsarta-A  5/80,40,2018-09-10 15:44:03,2018-09-10 15:44:03,14,27.14,107,,15
245,Tab B-Fit 20mg,44,2018-09-10 15:44:03,2018-09-27 21:30:52,20,6.5,107,,23.5
246,Cap Solus 40mg,34,2018-09-10 15:44:03,2018-09-27 21:30:52,14,22,107,,17.55
247,Tab Cinirant 1mg,42,2018-09-10 15:44:03,2018-09-27 21:30:52,30,16.1,107,,23.5
248,Laxolite Sachets,57,2018-09-10 15:44:55,2018-09-27 21:30:52,10,23.03,108,,23.5
249,Tab  Itofix SR 150mg,15,2018-09-10 15:47:32,2018-09-27 21:30:52,10,31.6,109,,23.5
250,Cap Rezz -20,19,2018-09-10 15:47:33,2018-09-27 21:30:52,10,15,109,,23.5
251,Tab B-Fit 20mg,44,2018-09-10 15:47:33,2018-09-27 21:30:52,10,6.5,109,,23.5
252,Tab  Itofix SR 150mg,15,2018-09-10 15:49:41,2018-09-27 21:30:52,30,31.6,110,,23.5
253,Cap  Calgae,47,2018-09-10 15:49:41,2018-09-10 15:49:41,60,34.95,110,,15
254,Cap Edwin D,43,2018-09-10 15:49:41,2018-09-27 21:30:52,2,230,110,,23.5
255,Tab  Ostin,51,2018-09-10 15:52:11,2018-09-10 15:52:11,120,37,111,,15
256,Tab Cilavit D 200000 IU,8,2018-09-10 15:52:11,2018-09-27 21:30:52,4,175,111,,23.5
257,Tab  Paromax  20mg,49,2018-09-10 15:52:11,2018-09-10 15:52:11,30,21.5,111,,15
